# phasetime, flux, flux_err
-2.243173023661047816e-02,1.000955166298828303e+00,4.511687021409980136e-04
-2.240213455003191995e-02,1.000225552670992002e+00,4.509713946482969953e-04
-2.237295376766034252e-02,1.000084654317319632e+00,4.513802798925001594e-04
-2.206951531254629922e-02,9.995897694296623781e-01,4.507574001055889403e-04
-2.204009192064404835e-02,9.997928503482175211e-01,4.511510760345718721e-04
-2.201117796219010173e-02,1.001081731773739492e+00,4.514096734029641425e-04
-2.173697058086665121e-02,1.000441915339417731e+00,4.510152081435169391e-04
-2.170736371841719067e-02,9.997282450302905632e-01,4.509098709392676341e-04
-2.167818293604560978e-02,9.997403217370954831e-01,4.511423261237325908e-04
-2.137474401527027223e-02,9.996780567516199145e-01,4.507908837390496169e-04
-2.134532155469061332e-02,9.998817092405014595e-01,4.511285250937287195e-04
-2.131640759623666670e-02,1.000356070636134520e+00,4.512796296105861743e-04
